date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:55	17943/17943	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202016%2007:01:22%20GMT	https://demo.graygrids.com/themes/impression/blog.html	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/blog.html	(from https://demo.graygrids.com/themes/impression/)
22:13:55	9753/9753	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202016%2007:01:22%20GMT	https://demo.graygrids.com/themes/impression/contact.html	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/contact.html	(from https://demo.graygrids.com/themes/impression/)
22:13:56	138863/138863	---M--	200	added ('OK')	image/jpeg	etag:%2221e6f-583149f9-fc262;;;%22	https://demo.graygrids.com/themes/impression/assets/img/slider/bg-2.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/slider/bg-2.jpg	(from https://demo.graygrids.com/themes/impression/)
22:13:56	526079/526079	---M--	200	added ('OK')	image/jpeg	etag:%22806ff-5831546e-fc265;;;%22	https://demo.graygrids.com/themes/impression/assets/img/slider/bg-1.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/slider/bg-1.jpg	(from https://demo.graygrids.com/themes/impression/)
22:13:57	101570/101570	---M--	200	added ('OK')	image/jpeg	etag:%2218cc2-583149fa-fc261;;;%22	https://demo.graygrids.com/themes/impression/assets/img/slider/bg-3.jpg	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/slider/bg-3.jpg	(from https://demo.graygrids.com/themes/impression/)
22:13:57	21910/21910	---M--	200	added ('OK')	image/png	etag:%225596-58314a13-fc253;;;%22	https://demo.graygrids.com/themes/impression/assets/img/microphone.png	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/microphone.png	(from https://demo.graygrids.com/themes/impression/)
22:13:57	22033/22033	---M--	200	added ('OK')	image/png	etag:%225611-58314a0e-fc223;;;%22	https://demo.graygrids.com/themes/impression/assets/img/coffee-cup.png	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/coffee-cup.png	(from https://demo.graygrids.com/themes/impression/)
22:13:57	3114/3114	---M--	200	added ('OK')	image/png	etag:%22c2a-583149fe-fc24f;;;%22	https://demo.graygrids.com/themes/impression/assets/img/sponsors/logo-01.png	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/sponsors/logo-01.png	(from https://demo.graygrids.com/themes/impression/)
22:13:58	3474/3474	---M--	200	added ('OK')	image/png	etag:%22d92-583149ff-fc24d;;;%22	https://demo.graygrids.com/themes/impression/assets/img/sponsors/logo-02.png	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/sponsors/logo-02.png	(from https://demo.graygrids.com/themes/impression/)
22:13:58	20177/20177	---M--	200	added ('OK')	image/png	etag:%224ed1-58314a00-fc24e;;;%22	https://demo.graygrids.com/themes/impression/assets/img/sponsors/logo-03.png	C:/My%20Web%20Sites/Template/demo.graygrids.com/themes/impression/assets/img/sponsors/logo-03.png	(from https://demo.graygrids.com/themes/impression/)
